Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_SYBR_3.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-05 21:46:44 PM EST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
D6,Sample 12,Ofav,UNKNOWN,SYBR,None,22.5179100037,22.5635108948,0.0644907504,,,,0,0.1,1,3,18,,N,N
D7,Sample 12,D,UNKNOWN,SYBR,None,25.0847492218,25.0959625244,0.0158593524,,,,0,0.1,1,3,21,,N,N
D8,Sample 12,Ofav,UNKNOWN,SYBR,None,22.6091136932,22.5635108948,0.0644907504,,,,0,0.1,1,3,18,,N,N
D9,Sample 19,D,UNKNOWN,SYBR,None,35.8144950867,35.1993103027,0.8699999452,,,,0,0.1,1,3,32,,Y,N
D10,Sample 19,Ofav,UNKNOWN,SYBR,None,31.6167430878,30.7287654877,1.2557899952,,,,0,0.1,1,3,26,,Y,N
D11,Sample 19,D,UNKNOWN,SYBR,None,34.5841293335,35.1993103027,0.8699999452,,,,0,0.1,1,3,31,,Y,N
D12,Sample 19,Ofav,UNKNOWN,SYBR,None,29.8407878876,30.7287654877,1.2557899952,,,,0,0.1,1,3,25,,Y,N
E1,Sample 5,D,UNKNOWN,SYBR,None,24.1894741058,24.1865463257,0.0041418551,,,,0,0.1,1,3,20,,N,N
E2,Sample 5,Ofav,UNKNOWN,SYBR,None,25.1932411194,25.1076202393,0.12108621,,,,0,0.1,1,3,21,,N,N
E3,Sample 5,D,UNKNOWN,SYBR,None,24.1836166382,24.1865463257,0.0041418551,,,,0,0.1,1,3,20,,N,N
E4,Sample 5,Ofav,UNKNOWN,SYBR,None,25.0219993591,25.1076202393,0.12108621,,,,0,0.1,1,3,21,,N,N
E5,Sample 13,D,UNKNOWN,SYBR,None,25.9652462006,26.0494480133,0.119079344,,,,0,0.1,1,3,22,,N,N
E6,Sample 13,Ofav,UNKNOWN,SYBR,None,25.2477378845,25.2179374695,0.0421441495,,,,0,0.1,1,3,20,,N,N
E7,Sample 13,D,UNKNOWN,SYBR,None,26.133649826,26.0494480133,0.119079344,,,,0,0.1,1,3,22,,N,N
E8,Sample 13,Ofav,UNKNOWN,SYBR,None,25.1881370544,25.2179374695,0.0421441495,,,,0,0.1,1,3,20,,N,N
E9,Sample 20,D,UNKNOWN,SYBR,None,26.7796077728,26.9730072021,0.2735067606,,,,0,0.1,1,3,23,,N,N
E10,Sample 20,Ofav,UNKNOWN,SYBR,None,24.001625061,24.0285110474,0.0380211771,,,,0,0.1,1,3,20,,N,N
E11,Sample 20,D,UNKNOWN,SYBR,None,27.1664047241,26.9730072021,0.2735067606,,,,0,0.1,1,3,23,,N,N
E12,Sample 20,Ofav,UNKNOWN,SYBR,None,24.0553951263,24.0285110474,0.0380211771,,,,0,0.1,1,3,20,,N,N
F1,Sample 6,D,UNKNOWN,SYBR,None,25.6475124359,25.6816444397,0.0482685938,,,,0,0.1,1,3,21,,N,N
F2,Sample 6,Ofav,UNKNOWN,SYBR,None,23.7999572754,23.7824440002,0.0247675106,,,,0,0.1,1,3,19,,N,N
F3,Sample 6,D,UNKNOWN,SYBR,None,25.7157745361,25.6816444397,0.0482685938,,,,0,0.1,1,3,21,,N,N
F4,Sample 6,Ofav,UNKNOWN,SYBR,None,23.7649307251,23.7824440002,0.0247675106,,,,0,0.1,1,3,20,,N,N
F5,Sample 14,D,UNKNOWN,SYBR,None,27.7096385956,27.5919551849,0.1664294749,,,,0,0.1,1,3,23,,N,N
F6,Sample 14,Ofav,UNKNOWN,SYBR,None,27.2482337952,27.0180625916,0.325509876,,,,0,0.1,1,3,23,,N,N
F7,Sample 14,D,UNKNOWN,SYBR,None,27.4742717743,27.5919551849,0.1664294749,,,,0,0.1,1,3,24,,N,N
F8,Sample 14,Ofav,UNKNOWN,SYBR,None,26.7878932953,27.0180625916,0.325509876,,,,0,0.1,1,3,23,,N,N
F9,Sample 21,D,UNKNOWN,SYBR,None,25.4098815918,25.4459762573,0.0510442182,,,,0,0.1,1,3,21,,N,N
F10,Sample 21,Ofav,UNKNOWN,SYBR,None,22.2983379364,22.4541931152,0.2204125077,,,,0,0.1,1,3,18,,N,N
F11,Sample 21,D,UNKNOWN,SYBR,None,25.4820690155,25.4459762573,0.0510442182,,,,0,0.1,1,3,21,,N,N
F12,Sample 21,Ofav,UNKNOWN,SYBR,None,22.6100482941,22.4541931152,0.2204125077,,,,0,0.1,1,3,19,,N,N
G1,Sample 7,D,UNKNOWN,SYBR,None,25.7604904175,25.5198097229,0.3403739035,,,,0,0.1,1,3,22,,N,N
G2,Sample 7,Ofav,UNKNOWN,SYBR,None,21.9731235504,21.9306259155,0.0601020791,,,,0,0.1,1,3,19,,N,N
G3,Sample 7,D,UNKNOWN,SYBR,None,25.2791290283,25.5198097229,0.3403739035,,,,0,0.1,1,3,22,,N,N
G4,Sample 7,Ofav,UNKNOWN,SYBR,None,21.8881263733,21.9306259155,0.0601020791,,,,0,0.1,1,3,18,,N,N
G5,Sample 15,D,UNKNOWN,SYBR,None,27.9582176208,27.9281730652,0.0424880683,,,,0,0.1,1,3,24,,N,N
G6,Sample 15,Ofav,UNKNOWN,SYBR,None,26.3174762726,26.2680606842,0.0698841959,,,,0,0.1,1,3,22,,N,N
G7,Sample 15,D,UNKNOWN,SYBR,None,27.8981304169,27.9281730652,0.0424880683,,,,0,0.1,1,3,24,,N,N
G8,Sample 15,Ofav,UNKNOWN,SYBR,None,26.2186450958,26.2680606842,0.0698841959,,,,0,0.1,1,3,21,,N,N
G9,Sample 22,D,UNKNOWN,SYBR,None,27.0430355072,27.8847007751,1.1902958155,,,,0,0.1,1,3,23,,Y,N
G10,Sample 22,Ofav,UNKNOWN,SYBR,None,22.93542099,22.9390602112,0.0051479847,,,,0,0.1,1,3,19,,N,N
G11,Sample 22,D,UNKNOWN,SYBR,None,28.7263679504,27.8847007751,1.1902958155,,,,0,0.1,1,3,25,,Y,N
G12,Sample 22,Ofav,UNKNOWN,SYBR,None,22.9427013397,22.9390602112,0.0051479847,,,,0,0.1,1,3,19,,N,N
H1,NTC,D,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.1,1,3,39,,N,Y
H2,+,Ofav,UNKNOWN,SYBR,None,23.9712982178,24.0787811279,0.1520037949,,,,0,0.1,1,3,20,,N,N
H3,Sample 8,D,UNKNOWN,SYBR,None,25.850479126,25.9047775269,0.0767895356,,,,0,0.1,1,3,22,,N,N
H4,Sample 8,Ofav,UNKNOWN,SYBR,None,22.7124042511,22.838218689,0.1779284775,,,,0,0.1,1,3,19,,N,N
H5,Sample 8,D,UNKNOWN,SYBR,None,25.9590759277,25.9047775269,0.0767895356,,,,0,0.1,1,3,22,,N,N
H6,Sample 8,Ofav,UNKNOWN,SYBR,None,22.9640331268,22.838218689,0.1779284775,,,,0,0.1,1,3,19,,N,N
H7,Sample 16,D,UNKNOWN,SYBR,None,24.9711208344,25.01978302,0.0688187256,,,,0,0.1,1,3,21,,N,N
H8,Sample 16,Ofav,UNKNOWN,SYBR,None,24.7383937836,24.8458633423,0.1519835591,,,,0,0.1,1,3,21,,N,N
H9,Sample 16,D,UNKNOWN,SYBR,None,25.0684452057,25.01978302,0.0688187256,,,,0,0.1,1,3,21,,N,N
H10,Sample 16,Ofav,UNKNOWN,SYBR,None,24.9533309937,24.8458633423,0.1519835591,,,,0,0.1,1,3,21,,N,N
H11,+,D,UNKNOWN,SYBR,None,25.5992050171,25.8864059448,0.4061647952,,,,0,0.1,1,3,22,,N,N
H12,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.1,1,3,35,,N,N
